a,b,MSE
2.5,10.0,0.9378388253341688
2.5,15.0,1.0335033211770241
2.5,20.0,0.8739174276752892
2.5,25.0,0.8376203479964885
3.0,0.0,1.3574449202572645
3.0,5.0,1.094737992752361
3.0,10.0,0.9683382530953955
3.0,15.0,1.1521269671347194
3.0,20.0,0.8839487459822767
3.0,25.0,1.0864879698816043
3.5,0.0,1.3703579233101326
3.5,5.0,0.9396237206368979
3.5,10.0,1.1712908505604265
3.5,15.0,1.0082346899449892
3.5,20.0,1.1924232598603333
3.5,25.0,1.2190462057947375
4.0,0.0,0.8080998695267141
4.0,5.0,1.7290344859012539
4.0,10.0,1.5086298050243627
4.0,15.0,0.6348443914817582
4.0,20.0,0.9411596312904891
4.0,25.0,1.9726664948717016
4.5,0.0,0.8622753008347774
4.5,5.0,2.9254338061681646
4.5,10.0,0.817343625992654
4.5,15.0,0.8368329967475402
4.5,20.0,0.7993079295672956
4.5,25.0,0.9840146391061328
5.0,0.0,1.1832507023392138
5.0,5.0,2.367905681385395
5.0,10.0,1.1434089918813068
5.0,15.0,1.8447085522382018
5.0,20.0,0.8288134864018859
5.0,25.0,0.8721999150785896
